Unnamed: 0_x,caption,likes,comments,date,url,likes/followers,comments/followers,username,Unnamed: 0_y,followers,following,bio,posts
28,"ViVi keep you warm❗️
.
Top 10 Hot Drinks ✅
.

Enjoy our delightful selection of hot beverages to warm up this winter. 
Choose from ：
.
Purple Rice Milk Tea 紫米奶茶
.
Oat Groats Milk Tea 燕麥奶茶
.
Red Bean Milk Tea 紅豆奶茶
.
Diced Taro Milk Tea 小芋頭奶茶
.
Flaming Brown Sugar Tapioca 火焰黑糖珍珠鮮奶/奶茶
.
Ginger Milk Tea 薑母奶茶
.
Kumquat Tea 金桔茶
.
Brown Sugar•Longan Tea 黑糖桂圓紅棗茶
.
Jasmine Honey Tea 蜂蜜茉莉綠茶
.
Brown Sugar Ginger Tea 黑糖薑母茶
.
Stay cozy and content all season long.
.
.
.
.
#vivibubbletea #bubbletea #bobatea #drinks #hotdrink #hotbeverage #warm 
#winter #milktea #holidayseason",98,5,2023-11-18T21:02:22,https://scontent-bos5-1.cdninstagram.com/v/t39.30808-6/402976165_18395721043058121_3485639728832550258_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE1MDkuc2RyIn0&_nc_ht=scontent-bos5-1.cdninstagram.com&_nc_cat=109&_nc_ohc=tKXeJRPW-aAAX_OiMFb&edm=ALQROFkAAAAA&ccb=7-5&ig_cache_key=MzIzOTAyMDM5NzM0MDY1Njc4MA%3D%3D.2-ccb7-5&oh=00_AfD3VFJ1o_r6BkcjyKVsi9ZLg4XHAqRKk5WsKtX-7Hn7iQ&oe=65D51A55&_nc_sid=fc8dfb,0.0107350202650892,0.0005477051155657,vivibubbletea,2,9129,2622,Taiwanese original street food & drinks.,697
29,"🎃🎃Happy Halloween 🎃🎃
.
Wishing you a spooky and fun-filled Halloween, filled with laughter, treats, and unforgettable memories! 
May your night be haunted with joy and your costume be the talk of the town. 
……🕷️🕸️🍬🍫🍬🍫🕸️🕷️
.
.
.
.
.
.
.
#happyhalloween #halloween #bubbletea 
#bubbletealover #hunting #trickortreat #candy #halloweencostume #vivibubbletea #october #oct31 #🎃 #🕸 #🕷 #🍬",70,0,2023-10-31T14:46:57,https://scontent-bos5-1.cdninstagram.com/v/t39.30808-6/395638166_18392052844058121_2693142932948432534_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMTI1eDE0MDYuc2RyIn0&_nc_ht=scontent-bos5-1.cdninstagram.com&_nc_cat=109&_nc_ohc=Ex0RYi7wgbwAX8jFDlE&edm=ALQROFkAAAAA&ccb=7-5&ig_cache_key=MzIyNTc4NTQ4NjMyODUwNjA1Nw%3D%3D.2-ccb7-5&oh=00_AfC4ypmMHoEZsJwuZroeq3lIbSkUPyah1QE0-4H4YTRs9Q&oe=65D598DA&_nc_sid=fc8dfb,0.0076678716179209,0.0,vivibubbletea,2,9129,2622,Taiwanese original street food & drinks.,697
30,"The Valentine’s Day is coming👩‍❤️‍👨
Starting on 2/10, we have our limited Valentine’s Day Special - Strawberry Milk Tea and Strawberry Green Tea🍓Get the drinks with the heart bottles💝
#boba #bobatea #bubbletea #milktea #strawberry #valentines #love #boston #bostonfoodies #valentinesgift",55,1,2024-02-08T20:15:00,https://scontent-bos5-1.cdninstagram.com/v/t39.30808-6/426157630_18030060085869243_8767199344238250427_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDcwMC5zZHIifQ&_nc_ht=scontent-bos5-1.cdninstagram.com&_nc_cat=103&_nc_ohc=Ok3cgsDIGIUAX-vfCsW&edm=ALQROFkAAAAA&ccb=7-5&ig_cache_key=MzI5ODQyODQ2NzQzODc4MDg2OQ%3D%3D.2-ccb7-5&oh=00_AfDrI2JijaylNmnfkowSdVNiEFuBuECWMz2K8LSNCLQufg&oe=65D51950&_nc_sid=fc8dfb,0.0179973821989528,0.00032722513089,tenoneteahouse_us,3,3056,39,"279 Newbury Street, Boston
1323 Boylston Street, Boston
421 Artisan Way, Somerville
105 Bond Square, Watertown
216 Thayer Street, Providence",130
31,"The Lunar New Year is coming🧧
Starting 2/5, we are giving out the Limited Red Envelope with random special coupons if you purchase two items in-store! The coupons include a free drink, buy one get one free, buy one get one 50% off, $1 off, and 20% off. Come with luck to get the biggest discount!
#boba #bobamilktea #bobatea #bubbletea #milktea #boston #bostonffoodies #newyear",102,2,2024-02-03T20:39:55,https://scontent-bos5-1.cdninstagram.com/v/t39.30808-6/425396322_18029578975869243_6171752740628357377_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDAweDEwMDAuc2RyIn0&_nc_ht=scontent-bos5-1.cdninstagram.com&_nc_cat=103&_nc_ohc=0Daxn6sFKnYAX9n-sUM&edm=ALQROFkAAAAA&ccb=7-5&ig_cache_key=MzI5NDgxNjgyOTUzMTg1NzgwOQ%3D%3D.2-ccb7-5&oh=00_AfCvCzGefSOsK-SoINWstL3-dVlPttN8M0xtai3F9Ol5Ng&oe=65D69518&_nc_sid=fc8dfb,0.0333769633507853,0.0006544502617801,tenoneteahouse_us,3,3056,39,"279 Newbury Street, Boston
1323 Boylston Street, Boston
421 Artisan Way, Somerville
105 Bond Square, Watertown
216 Thayer Street, Providence",130
32,"Cinnamon Milk Tea with Roasted Marshmallows🍂
We are here to announce our Winter Special-Cinnamon Milk Tea with Roasted Marshmallows, a perfect choice for the cold weather! Let our Cinnamon Milk Tea give you a cozy winter!",89,2,2023-11-11T00:42:41,https://scontent-bos5-1.cdninstagram.com/v/t39.30808-6/400124501_18019877254869243_5920511956007949954_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE4MDAuc2RyIn0&_nc_ht=scontent-bos5-1.cdninstagram.com&_nc_cat=103&_nc_ohc=JBDiKp48P_EAX-ZksYm&edm=ALQROFkAAAAA&ccb=7-5&ig_cache_key=MzIzMzMzMzA4NzQ3ODg1NjA5OA%3D%3D.2-ccb7-5&oh=00_AfAiGTmh1NM5Lv3MErs_dLtopW6EaTL7Ry0ONceqgivb2g&oe=65D5B532&_nc_sid=fc8dfb,0.0291230366492146,0.0006544502617801,tenoneteahouse_us,3,3056,39,"279 Newbury Street, Boston
1323 Boylston Street, Boston
421 Artisan Way, Somerville
105 Bond Square, Watertown
216 Thayer Street, Providence",130
33,Something new is coming with the cold weather…,54,0,2023-11-06T02:25:02,https://scontent-bos5-1.cdninstagram.com/v/t39.30808-6/399936292_18019232443869243_2305564797421949809_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDc5eDEwNzkuc2RyIn0&_nc_ht=scontent-bos5-1.cdninstagram.com&_nc_cat=103&_nc_ohc=2pltPapFkOcAX9B7KZR&edm=ALQROFkAAAAA&ccb=7-5&ig_cache_key=MzIyOTc2MDcyMjE0ODkyNTQxMw%3D%3D.2-ccb7-5&oh=00_AfCCi5fEysIYYdH_B5tWzduFIzuIF8iNUSaVFwZ17rtxsg&oe=65D6608C&_nc_sid=fc8dfb,0.0176701570680628,0.0,tenoneteahouse_us,3,3056,39,"279 Newbury Street, Boston
1323 Boylston Street, Boston
421 Artisan Way, Somerville
105 Bond Square, Watertown
216 Thayer Street, Providence",130
34,"Osmanthus Season🌼
Osmanthus is a Chinese flower with a light floral taste that can smooth and relax the mind! Our new drink, Osmanthus Honey Oolong Milk Tea, uses our new medium roasted oolong to add a mellow flavor! Don’t miss it✨
#boba #bobatea #bubbletea #milktea #flowertea #boston #bostonfoodies #bostonrestaurants",27,2,2023-10-12T23:57:28,https://scontent-bos5-1.cdninstagram.com/v/t39.30808-6/391731967_18016248037869243_997734051063451329_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE0NDAuc2RyIn0&_nc_ht=scontent-bos5-1.cdninstagram.com&_nc_cat=103&_nc_ohc=JDGv_jqhQ5IAX-H9Guq&edm=ALQROFkAAAAA&ccb=7-5&ig_cache_key=MzIxMjI5MTgzMTIzNTg1OTMxMQ%3D%3D.2-ccb7-5&oh=00_AfDNa1BtdVpNtYAjGo1Zkt9lp-BYjH9EEQM9OZeRYZmVaA&oe=65D61309&_nc_sid=fc8dfb,0.0088350785340314,0.0006544502617801,tenoneteahouse_us,3,3056,39,"279 Newbury Street, Boston
1323 Boylston Street, Boston
421 Artisan Way, Somerville
105 Bond Square, Watertown
216 Thayer Street, Providence",130
35,"Osmanthus Season🌼
#boba #bobatea #bubbletea #milktea #milktealover #boston #bostonfoodies #flowertea",17,0,2023-10-12T23:56:52,https://scontent-bos5-1.cdninstagram.com/v/t39.30808-6/391619408_18016247971869243_416332702011035649_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE0NDAuc2RyIn0&_nc_ht=scontent-bos5-1.cdninstagram.com&_nc_cat=103&_nc_ohc=ydapFJgDsXQAX9CTsfg&edm=ALQROFkAAAAA&ccb=7-5&ig_cache_key=MzIxMjI5MTUyOTM4ODM1OTMzMg%3D%3D.2-ccb7-5&oh=00_AfA2LojPnwYFlFFmXMjR1FC_NaOu-MPbGbBRLh4VdjHXzA&oe=65D62986&_nc_sid=fc8dfb,0.0055628272251308,0.0,tenoneteahouse_us,3,3056,39,"279 Newbury Street, Boston
1323 Boylston Street, Boston
421 Artisan Way, Somerville
105 Bond Square, Watertown
216 Thayer Street, Providence",130
36,"Osmanthus Season🌼
Osmanthus is a Chinese flower with a light floral taste that can smooth and relax the mind! Our new drink, Osmanthus Honey Oolong Milk Tea, uses our new medium roasted oolong to add a mellow flavor! Don’t miss it✨
#boba #bobatea #bubbletea #milktea #flowertea #boston #bostonfoodies #bostonrestaurants",9,1,2023-09-20T15:17:03,https://scontent-bos5-1.cdninstagram.com/v/t39.30808-6/380978882_18013510180869243_8850033411968320470_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE0NDAuc2RyIn0&_nc_ht=scontent-bos5-1.cdninstagram.com&_nc_cat=103&_nc_ohc=or_GaMWIQqEAX9Vfc8S&edm=ALQROFkAAAAA&ccb=7-5&ig_cache_key=MzE5NjA4NDgyNDYwNzExNzA1NQ%3D%3D.2-ccb7-5&oh=00_AfBasxLFInluDJ1dBTgGpGg37Hr1S3as_YgjaeYYfwemOg&oe=65D64832&_nc_sid=fc8dfb,0.0029450261780104,0.00032722513089,tenoneteahouse_us,3,3056,39,"279 Newbury Street, Boston
1323 Boylston Street, Boston
421 Artisan Way, Somerville
105 Bond Square, Watertown
216 Thayer Street, Providence",130
37,"Osmanthus Season🌼
Osmanthus is a Chinese flower with a light floral taste that can smooth and relax the mind! Our new drink, Osmanthus Honey Oolong Milk Tea, uses our new medium roasted oolong to add a mellow flavor! Don’t miss it✨
#boba #bobatea #bubbletea #milktea #flowertea #boston #bostonfoodies #bostonrestaurants",6,0,2023-09-20T15:16:10,https://scontent-bos5-1.cdninstagram.com/v/t39.30808-6/380178944_18013510006869243_5077155580330328095_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE0NDAuc2RyIn0&_nc_ht=scontent-bos5-1.cdninstagram.com&_nc_cat=103&_nc_ohc=gVdefdnhqBIAX9dILl4&edm=ALQROFkAAAAA&ccb=7-5&ig_cache_key=MzE5NjA4NDM4MDg0OTcwNDg1NA%3D%3D.2-ccb7-5&oh=00_AfCSAMm618plEaUisnFlNkNvAgiPBWAcWhaw6i9HMarV6w&oe=65D659F0&_nc_sid=fc8dfb,0.0019633507853403,0.0,tenoneteahouse_us,3,3056,39,"279 Newbury Street, Boston
1323 Boylston Street, Boston
421 Artisan Way, Somerville
105 Bond Square, Watertown
216 Thayer Street, Providence",130
